City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,belmonte,-15.8631,-38.8828,25.03,90,0,3.58,BR,1675743915
267,provideniya,64.3833,-173.3,-19.94,59,40,4.0,RU,1675743916
268,mittagong,-34.45,150.45,23.3,70,79,3.2,AU,1675743916
269,cabedelo,-6.9811,-34.8339,23.37,68,68,4.66,BR,1675743917
270,ponta do sol,32.6667,-17.1,14.45,61,33,3.79,PT,1675743756
271,sitka,57.0531,-135.33,1.94,80,40,3.09,US,1675743917
272,kez,57.8979,53.7152,-23.51,100,97,1.39,RU,1675743918
273,candido de abreu,-24.5669,-51.3333,18.13,72,87,0.28,BR,1675743918
274,elmira,42.0898,-76.8077,-1.03,82,100,2.57,US,1675743637
275,ariquemes,-9.9133,-63.0408,22.07,98,99,0.63,BR,1675743919
276,limpapa,7.1197,121.9106,28.63,79,97,1.01,PH,1675743920
277,taksimo,56.3444,114.8794,-12.98,71,100,1.53,RU,1675743920
278,lakes entrance,-37.8811,147.981,21.76,60,9,4.5,AU,1675743921
279,leh,34.1667,77.5833,-13.99,81,86,0.33,IN,1675743922
280,kendari,-3.945,122.4989,31.66,57,90,1.68,ID,1675743922
281,lichinga,-13.3128,35.2406,17.05,94,75,2.57,MZ,1675743923
282,kjollefjord,70.9457,27.3465,5.03,81,0,11.32,NO,1675743923
283,faanui,-16.4833,-151.75,27.41,76,5,6.51,PF,1675743924
284,orissaare,58.5592,23.0826,-0.03,81,88,3.18,EE,1675743924
285,mareeba,-17.0,145.4333,30.82,64,100,1.08,AU,1675743924
286,airai,-8.9266,125.4092,23.06,60,61,2.23,TL,1675743925
287,panguipulli,-39.6333,-72.3333,12.11,60,1,1.03,CL,1675743926
288,rayagada,19.1667,83.4167,27.74,26,62,0.66,IN,1675743926
289,isangel,-19.55,169.2667,28.2,76,100,0.94,VU,1675743927
290,todos santos,23.45,-110.2167,17.39,90,33,1.77,MX,1675743927
291,netarhat,23.4833,84.2667,22.31,21,0,1.41,IN,1675743928
292,mancio lima,-7.6142,-72.8958,21.06,99,89,0.28,BR,1675743718
293,port moresby,-9.4431,147.1797,25.68,89,100,5.14,PG,1675743928
294,landeck,47.1301,10.5636,-2.59,88,13,3.12,AT,1675743929
295,ha giang,22.8333,104.9833,21.84,93,99,1.83,VN,1675743929
296,asau,46.4333,26.4,-5.4,88,79,2.03,RO,1675743929
297,mehamn,71.0357,27.8492,4.95,81,0,11.32,NO,1675743930
298,meulaboh,4.1363,96.1285,28.23,70,66,1.12,ID,1675743930
299,aksarka,66.5606,67.7975,-26.95,100,74,2.56,RU,1675743737
300,ambulu,-8.345,113.6058,28.92,71,99,4.06,ID,1675743931
301,angoche,-16.2325,39.9086,24.85,90,97,3.3,MZ,1675743931
302,kruisfontein,-34.0033,24.7314,20.49,96,36,4.08,ZA,1675743931
303,daru,-9.0763,143.2092,25.95,86,100,4.92,PG,1675743932
304,pisco,-13.7,-76.2167,23.03,94,20,2.57,PE,1675743932
305,aguimes,27.9054,-15.4461,13.35,72,75,4.12,ES,1675743932
306,bandarbeyla,9.4942,50.8122,23.72,75,75,3.39,SO,1675743933
307,quthing,-30.4,27.7003,19.11,61,98,0.3,LS,1675743933
308,alpena,45.0617,-83.4327,-2.16,85,0,5.14,US,1675743934
309,roccastrada,43.0099,11.1665,1.06,68,51,5.27,IT,1675743934
310,padang,-0.9492,100.3543,31.03,61,54,2.31,ID,1675743934
311,sechura,-5.5569,-80.8222,25.1,69,76,4.11,PE,1675743934
312,mzimba,-11.9,33.6,16.42,99,100,2.88,MW,1675743935
313,evensk,61.95,159.2333,-26.43,78,56,3.51,RU,1675743935
314,bathsheba,13.2167,-59.5167,26.34,73,20,6.69,BB,1675743935
315,klaksvik,62.2266,-6.589,6.51,61,23,12.61,FO,1675743936
316,poum,-20.2333,164.0167,27.54,81,100,5.56,NC,1675743936
317,bolkhov,53.4433,36.0044,-11.42,97,98,2.27,RU,1675743936
318,luderitz,-26.6481,15.1594,17.81,88,13,6.13,NA,1675743937
319,konstantinovka,49.6167,127.9833,-16.12,90,100,2.27,RU,1675743881
320,nanortalik,60.1432,-45.2371,-15.64,85,100,4.92,GL,1675743937
321,broken hill,-31.95,141.4333,31.02,17,0,5.77,AU,1675743937
322,nova gradiska,45.255,17.3831,-4.06,67,1,0.57,HR,1675743938
323,ixtapa,20.7,-105.2,21.24,88,0,0.0,MX,1675743938
324,vengerovo,55.6848,76.7471,-13.26,96,97,2.48,RU,1675743938
325,shelburne,44.0787,-80.2041,-6.34,92,95,4.85,CA,1675743939
326,dayong,25.0209,118.2898,19.93,82,96,1.29,CN,1675743939
327,port blair,11.6667,92.75,29.02,74,75,4.63,IN,1675743820
328,benjamin constant,-4.3831,-70.0311,23.07,99,91,0.49,BR,1675743940
329,fontenay-le-comte,46.5833,-1.0,0.8,74,1,5.64,FR,1675743940
330,lodja,-3.4833,23.4333,19.49,97,94,1.22,CD,1675743940
331,codrington,-38.2667,141.9667,18.79,59,29,5.54,AU,1675743941
332,huanuco,-9.9329,-76.2415,17.08,93,94,1.03,PE,1675743941
333,aviles,43.5547,-5.9248,5.66,75,0,2.57,ES,1675743941
334,butterworth,5.3991,100.3638,30.02,74,20,3.09,MY,1675743942
335,kholodnyy,62.7167,147.95,-31.34,94,97,1.2,RU,1675743942
336,russkoye,45.0167,34.8,-5.82,95,100,6.21,UA,1675743943
337,walvis bay,-22.9575,14.5053,18.94,88,100,2.06,NA,1675743944
338,cedar city,37.6775,-113.0619,-4.46,80,0,2.57,US,1675743944
339,xining,36.6167,101.7667,-0.37,31,100,0.38,CN,1675743944
340,praya,14.9215,-23.5087,20.3,56,75,12.35,CV,1675743945
341,luwuk,-0.9516,122.7875,31.54,61,98,0.83,ID,1675743945
342,qaqortoq,60.7167,-46.0333,-25.71,69,26,4.15,GL,1675743945
343,srandakan,-7.9386,110.2506,27.46,77,100,4.46,ID,1675743946
344,tura,25.5198,90.2201,22.34,33,0,2.13,IN,1675743849
345,mkuranga,-7.118,39.2078,26.55,82,100,2.29,TZ,1675743946
346,lucan,53.3592,-6.4389,7.86,80,100,5.14,IE,1675743946
347,tocopilla,-22.092,-70.1979,22.97,82,25,2.11,CL,1675743947
348,weligama,5.9667,80.4167,26.15,81,100,2.33,LK,1675743947
349,andros town,24.7,-77.7667,22.98,71,10,7.95,BS,1675743947
350,constitucion,-35.3333,-72.4167,15.65,72,0,3.68,CL,1675743948
351,cotoca,-17.8167,-63.05,23.92,86,69,3.78,BO,1675743948
352,rumphi,-11.0186,33.8575,17.33,98,100,0.62,MW,1675743948
353,lensk,60.7253,114.9278,-23.99,94,100,0.87,RU,1675743948
354,sorland,67.667,12.6934,7.92,88,100,20.88,NO,1675743949
355,sambava,-14.2667,50.1667,24.71,86,85,2.92,MG,1675743949
356,veraval,20.9,70.3667,22.75,62,4,3.7,IN,1675743949
357,puerto padre,21.195,-76.6028,24.13,80,0,4.56,CU,1675743950
358,kaeo,-35.1,173.7833,24.62,81,20,1.49,NZ,1675743950
359,fort nelson,58.8053,-122.7002,-11.14,85,75,2.57,CA,1675743950
360,vanavara,60.34,102.2797,-22.21,100,100,1.1,RU,1675743951
361,stralsund,54.3091,13.0818,-2.77,85,10,3.48,DE,1675743860
362,subate,56.0062,25.9076,-7.41,99,68,1.15,LV,1675743951
363,rondonopolis,-16.4708,-54.6356,23.21,90,100,0.33,BR,1675743951
364,avera,33.194,-82.5271,5.73,57,23,2.13,US,1675743952
